pair,event_type,lookback_window,magnitude_bucket,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_high,24,large,1,-1.0445636e-05,-3.1225483e-05,-1.0445636e-05,0.00044315591,0.46342504,0.46342504,0.53156323,0.00046449081,0.00045456981,0.00070716566,9378,7.3024072e-06,False
ALL,breakout_high,24,large,2,-2.9077004e-05,-4.8689084e-05,-2.9077004e-05,0.00061027305,0.46321177,0.46321177,0.53380252,0.00063102893,0.00063944181,0.00095262841,9378,9.8371301e-06,False
ALL,breakout_high,24,large,4,-4.6118016e-05,-4.4723494e-05,-4.6118016e-05,0.00085989635,0.47430156,0.47430156,0.52313926,0.00086969766,0.00090202192,0.0013252607,9378,1.3685044e-05,False
ALL,breakout_high,24,large,8,-5.7713535e-05,-4.7423972e-05,-5.7713535e-05,0.0011925273,0.48027298,0.48027298,0.5186607,0.0011871972,0.0012527091,0.0018269887,9378,1.886604e-05,False
ALL,breakout_high,24,medium,1,-4.8664866e-06,-2.7047636e-05,-4.8664866e-06,0.00037440916,0.46491041,0.46491041,0.53018345,0.00038012773,0.00037644562,0.00058375428,9376,6.0286667e-06,False
ALL,breakout_high,24,medium,2,-7.5534932e-06,-2.8119877e-05,-7.5534932e-06,0.00051689683,0.47034983,0.47034983,0.52613055,0.00053268395,0.00053281948,0.00078648132,9376,8.1223109e-06,False
ALL,breakout_high,24,medium,4,-1.9550231e-05,-4.1766883e-05,-1.9550231e-05,0.00073170381,0.47141638,0.47141638,0.5262372,0.00074450788,0.00076110056,0.0011157284,9376,1.1522579e-05,False
ALL,breakout_high,24,medium,8,-1.9273246e-05,-5.4343655e-05,-1.9273246e-05,0.0010494371,0.47578925,0.47578925,0.52207765,0.0010520161,0.0010872633,0.0015849209,9376,1.636812e-05,False
ALL,breakout_high,24,small,1,-1.4834089e-05,-2.1961263e-05,-1.4834089e-05,0.00033428184,0.46587759,0.46587759,0.52857752,0.00032601051,0.00033534652,0.00056804531,9378,5.8658083e-06,False
ALL,breakout_high,24,small,2,-1.4523497e-05,-2.6484885e-05,-1.4523497e-05,0.00046300773,0.47334186,0.47334186,0.52271273,0.00046296841,0.00047670097,0.00071487218,9378,7.3819871e-06,False
ALL,breakout_high,24,small,4,-2.4978522e-05,-4.6767219e-05,-2.4978522e-05,0.00065299124,0.46811687,0.46811687,0.52889742,0.00065613344,0.00068296483,0.00098576719,9378,1.0179331e-05,False
ALL,breakout_high,24,small,8,-4.5301328e-05,-5.2250232e-05,-4.5301328e-05,0.00093989164,0.47056942,0.47056942,0.5275112,0.00092669533,0.00098441305,0.0014284921,9378,1.4751043e-05,False
ALL,breakout_high,48,large,1,-1.5682607e-05,-2.9315565e-05,-1.5682607e-05,0.00046314931,0.46851424,0.46851424,0.52640493,0.0004871597,0.00048284074,0.00070204165,6495,8.711106e-06,False
ALL,breakout_high,48,large,2,-3.7446944e-05,-5.4900059e-05,-3.7446944e-05,0.00063848671,0.46004619,0.46004619,0.53718245,0.00065937144,0.00067831624,0.00096620078,6495,1.1988858e-05,False
ALL,breakout_high,48,large,4,-4.4971687e-05,-4.8427232e-05,-4.4971687e-05,0.00089613594,0.47374904,0.47374904,0.52440339,0.00091076,0.00095216651,0.0013536169,6495,1.6796012e-05,False
ALL,breakout_high,48,large,8,-4.8531094e-05,-4.0980434e-05,-4.8531094e-05,0.0012544767,0.48421863,0.48421863,0.51424172,0.0012496025,0.0013113765,0.0019076683,6495,2.3670819e-05,False
ALL,breakout_high,48,medium,1,-5.3023159e-06,-2.5608195e-05,-5.3023159e-06,0.0003895823,0.46511628,0.46511628,0.53103342,0.00040214768,0.00039752059,0.00059657463,6493,7.4035852e-06,False
ALL,breakout_high,48,medium,2,-9.5117705e-06,-2.7027758e-05,-9.5117705e-06,0.0005455866,0.47281688,0.47281688,0.52379486,0.00055904058,0.00056125837,0.00081899717,6493,1.0163884e-05,False
ALL,breakout_high,48,medium,4,-2.4509402e-05,-4.3085805e-05,-2.4509402e-05,0.00076861166,0.47019868,0.47019868,0.52672108,0.00077836481,0.00079822329,0.0011433652,6493,1.4189342e-05,False
ALL,breakout_high,48,medium,8,-4.3143183e-05,-8.1200321e-05,-4.3143183e-05,0.0011111895,0.46819652,0.46819652,0.53041737,0.001097608,0.0011505602,0.0016628214,6493,2.0635875e-05,False
ALL,breakout_high,48,small,1,-1.2956843e-05,-2.3592532e-05,-1.2956843e-05,0.00035991505,0.46643055,0.46643055,0.52864182,0.00035369745,0.00035972985,0.00053927089,6494,6.6919215e-06,False
ALL,breakout_high,48,small,2,-1.956058e-05,-2.6795005e-05,-1.956058e-05,0.00049997536,0.47489991,0.47489991,0.52248229,0.00049561963,0.00051316763,0.00075658491,6494,9.3886151e-06,False
ALL,breakout_high,48,small,4,-3.6480075e-05,-5.1673246e-05,-3.6480075e-05,0.00070262445,0.46812442,0.46812442,0.52941176,0.00069571976,0.00073501889,0.0010562733,6494,1.3107509e-05,False
ALL,breakout_high,48,small,8,-6.4237055e-05,-6.1918006e-05,-6.4237055e-05,0.0010032819,0.46766246,0.46766246,0.53079766,0.00097367414,0.0010576622,0.0015110346,6494,1.8750734e-05,False
ALL,breakout_high,96,large,1,3.8727391e-06,-2.2136529e-05,3.8727391e-06,0.00048797869,0.47424638,0.47424638,0.52005697,0.00051864018,0.00049507608,0.00072766564,4213,1.1210788e-05,False
ALL,breakout_high,96,large,2,-1.2381906e-05,-3.9561831e-05,-1.2381906e-05,0.00066456772,0.47187277,0.47187277,0.52575362,0.00069917614,0.0006909163,0.00098677893,4213,1.520282e-05,False
ALL,breakout_high,96,large,4,-2.0955031e-05,-4.2176297e-05,-2.0955031e-05,0.00093001025,0.47994303,0.47994303,0.5186328,0.00095582115,0.00096514087,0.0014050096,4213,2.1646294e-05,False
ALL,breakout_high,96,large,8,-4.1283349e-05,-2.3949228e-05,-4.1283349e-05,0.0013018865,0.4903869,0.4903869,0.50771422,0.001292673,0.0013315905,0.002004731,4213,3.0885909e-05,False
ALL,breakout_high,96,medium,1,-3.9607481e-06,-2.3415202e-05,-3.9607481e-06,0.00039953761,0.47410926,0.47410926,0.52256532,0.0004173656,0.00041114877,0.00059544134,4210,9.1769409e-06,False
ALL,breakout_high,96,medium,2,-6.5828863e-06,-2.0284671e-05,-6.5828863e-06,0.00056165332,0.47862233,0.47862233,0.51852732,0.00057956873,0.00058147768,0.00083892574,4210,1.2929522e-05,False
ALL,breakout_high,96,medium,4,-7.4330257e-06,-2.3948878e-05,-7.4330257e-06,0.00078325232,0.48099762,0.48099762,0.51496437,0.00080527737,0.0008151525,0.0011530768,4210,1.7771217e-05,False
ALL,breakout_high,96,medium,8,-5.9521088e-06,-5.7436347e-05,-5.9521088e-06,0.0011235319,0.47553444,0.47553444,0.52280285,0.001132278,0.0011498479,0.0016780674,4210,2.5862372e-05,False
ALL,breakout_high,96,small,1,-9.1239313e-06,-1.9985562e-05,-9.1239313e-06,0.00036983441,0.47032289,0.47032289,0.52445394,0.00036590064,0.0003687612,0.00055359748,4212,8.5300175e-06,False
ALL,breakout_high,96,small,2,-1.7838603e-05,-2.869772e-05,-1.7838603e-05,0.00051513136,0.47293447,0.47293447,0.52421652,0.00050960993,0.00052441748,0.00077165235,4212,1.1889881e-05,False
ALL,breakout_high,96,small,4,-2.9788987e-05,-5.6376921e-05,-2.9788987e-05,0.00071330264,0.46604938,0.46604938,0.53157645,0.00070497718,0.00073884528,0.0010618469,4212,1.6361297e-05,False
ALL,breakout_high,96,small,8,-5.4590761e-05,-4.8600988e-05,-5.4590761e-05,0.0009919204,0.47245964,0.47245964,0.52587844,0.00097692549,0.0010452975,0.0015133739,4212,2.3318578e-05,False
ALL,breakout_low,24,large,1,-1.2732099e-07,4.172365e-05,1.2732099e-07,0.00050702112,0.53437863,0.46202091,0.53437863,0.00053417449,0.0004919156,0.00095967877,8610,1.0342471e-05,False
ALL,breakout_low,24,large,2,3.9433378e-06,5.7206988e-05,-3.9433378e-06,0.00068801338,0.53530778,0.46074332,0.53530778,0.00073827005,0.0006766815,0.0011659547,8610,1.2565509e-05,False
ALL,breakout_low,24,large,4,-1.4221769e-05,3.9491096e-05,1.4221769e-05,0.0009513397,0.51893148,0.47921022,0.51893148,0.0010196686,0.0009393371,0.0015230931,8610,1.6414394e-05,False
ALL,breakout_low,24,large,8,3.2164188e-06,3.7211761e-05,-3.2164188e-06,0.0013095581,0.51103368,0.48792102,0.51103368,0.001381686,0.0012967039,0.0020101146,8610,2.1663032e-05,False
ALL,breakout_low,24,medium,1,3.6777246e-05,4.1687317e-05,-3.6777246e-05,0.00041163411,0.54258162,0.45265482,0.54258162,0.0004143307,0.00042335762,0.00062904554,8607,6.7804136e-06,False
ALL,breakout_low,24,medium,2,4.9102754e-05,5.3172398e-05,-4.9102754e-05,0.00058369322,0.5389799,0.4579993,0.5389799,0.00058180198,0.00059919586,0.00090175592,8607,9.7199292e-06,False
ALL,breakout_low,24,medium,4,4.8961253e-05,7.2190004e-05,-4.8961253e-05,0.00080419718,0.535262,0.46287905,0.535262,0.00081872423,0.0008426397,0.0011805556,8607,1.272508e-05,False
ALL,breakout_low,24,medium,8,6.5610282e-05,0.00010105461,-6.5610282e-05,0.0011351946,0.53805042,0.46067155,0.53805042,0.0011513128,0.0011824175,0.0016845531,8607,1.8157615e-05,False
ALL,breakout_low,24,small,1,2.3215426e-05,4.2325176e-05,-2.3215426e-05,0.00037751508,0.54849576,0.44546405,0.54849576,0.00037542898,0.00037785357,0.00056072399,8609,6.0432809e-06,False
ALL,breakout_low,24,small,2,4.1090174e-05,5.8330933e-05,-4.1090174e-05,0.00052485709,0.54652108,0.44883262,0.54652108,0.00052198307,0.00053977904,0.0007870223,8609,8.4822425e-06,False
ALL,breakout_low,24,small,4,4.3749053e-05,7.1666607e-05,-4.3749053e-05,0.00072931057,0.54628877,0.45080729,0.54628877,0.00074090501,0.00076555359,0.001115775,8609,1.2025421e-05,False
ALL,breakout_low,24,small,8,4.8105478e-05,7.7645425e-05,-4.8105478e-05,0.0010186747,0.53316297,0.46532698,0.53316297,0.0010488182,0.001070802,0.0015349238,8609,1.6542855e-05,False
ALL,breakout_low,48,large,1,-1.8944199e-07,4.9680895e-05,1.8944199e-07,0.0005537397,0.53692988,0.45983662,0.53692988,0.00058573041,0.00053773378,0.0010486658,5876,1.3680318e-05,False
ALL,breakout_low,48,large,2,5.9717932e-06,5.6267182e-05,-5.9717932e-06,0.00074317154,0.53114364,0.46460177,0.53114364,0.00080569004,0.00073396894,0.0012362649,5876,1.6127634e-05,False
