pair,event_type,lookback_window,session,range_regime,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_high,24,asia,compressed,1,-8.4792284e-05,-7.222798e-05,-8.4792284e-05,0.00023042716,0.35853252,0.35853252,0.63201779,0.00019634351,0.00028513888,0.00031560233,1799,7.4408855e-06,False
ALL,breakout_high,24,asia,compressed,2,-0.00012655443,-0.00011340852,-0.00012655443,0.00031749168,0.35519733,0.35519733,0.64035575,0.00026483983,0.00041613496,0.00043429378,1799,1.0239247e-05,False
ALL,breakout_high,24,asia,compressed,4,-0.00019680082,-0.00016371971,-0.00019680082,0.00045890415,0.32851584,0.32851584,0.66759311,0.00036548233,0.00060831417,0.00066363974,1799,1.5646485e-05,False
ALL,breakout_high,24,asia,compressed,8,-0.00025861585,-0.00021789399,-0.00025861585,0.00063418162,0.34408004,0.34408004,0.65425236,0.00050947183,0.00087499474,0.00094790612,1799,2.234857e-05,False
ALL,breakout_high,24,asia,expanded,1,4.9091465e-05,1.9271016e-05,4.9091465e-05,0.00036564393,0.52048193,0.52048193,0.47657296,0.00040339568,0.00033000344,0.00057806179,3735,9.4586458e-06,False
ALL,breakout_high,24,asia,expanded,2,7.9602868e-05,4.9881283e-05,7.9602868e-05,0.00050654898,0.53708166,0.53708166,0.45970549,0.00057507676,0.00045874334,0.00078239119,3735,1.2802024e-05,False
ALL,breakout_high,24,asia,expanded,4,9.3276648e-05,7.1695234e-05,9.3276648e-05,0.00072302624,0.54056225,0.54056225,0.45649264,0.00081231849,0.00066045769,0.0011283569,3735,1.8462953e-05,False
ALL,breakout_high,24,asia,expanded,8,0.00011614398,0.0001517584,0.00011614398,0.0011023128,0.56412316,0.56412316,0.43373494,0.0011708228,0.00098714147,0.0018518129,3735,3.030064e-05,False
ALL,breakout_high,24,asia,normal,1,-3.4383385e-05,-2.9827277e-05,-3.4383385e-05,0.00026242762,0.44871076,0.44871076,0.54484305,0.00025752781,0.00028544848,0.00037124858,3568,6.2151609e-06,False
ALL,breakout_high,24,asia,normal,2,-6.0427217e-05,-5.0080597e-05,-6.0427217e-05,0.00036474631,0.4375,0.4375,0.55605381,0.00035535641,0.00041298461,0.00051247086,3568,8.5793968e-06,False
