pair,event_type,lookback_window,session,session_subcontext,transition_context,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_high,24,asia,early_session,inside_asia,1,-4.8148219e-06,-2.1354289e-05,-4.8148219e-06,0.00030151268,0.46699003,0.46699003,0.52789006,0.0003164696,0.00030474185,0.00044733623,3711,7.3432547e-06,False
ALL,breakout_high,24,asia,early_session,inside_asia,2,-8.8140217e-06,-3.5620006e-05,-8.8140217e-06,0.00041578122,0.46564268,0.46564268,0.53031528,0.00043877983,0.00042873538,0.00062145151,3711,1.0201447e-05,False
ALL,breakout_high,24,asia,early_session,inside_asia,4,-3.4074683e-05,-4.6080054e-05,-3.4074683e-05,0.0005741984,0.46672056,0.46672056,0.53004581,0.00059548452,0.00060671751,0.00083450618,3711,1.3698849e-05,False
ALL,breakout_high,24,asia,early_session,inside_asia,8,-3.8727374e-05,-4.2660094e-05,-3.8727374e-05,0.00075987731,0.47561304,0.47561304,0.5222312,0.00077797065,0.00080769197,0.0012637384,3711,2.0744917e-05,False
ALL,breakout_high,24,asia,late_session,inside_asia,1,-1.2140274e-05,-2.4821926e-05,-1.2140274e-05,0.00033329111,0.46695761,0.46695761,0.52743142,0.00033269902,0.00033606562,0.00050826997,3208,8.9738184e-06,False
ALL,breakout_high,24,asia,late_session,inside_asia,2,-1.189057e-05,-1.8851817e-05,-1.189057e-05,0.00047725432,0.47475062,0.47475062,0.52088529,0.00048501586,0.00049584675,0.00070745345,3208,1.2490525e-05,False
ALL,breakout_high,24,asia,late_session,inside_asia,4,-4.5803069e-05,-4.6919036e-05,-4.5803069e-05,0.00070643915,0.46976309,0.46976309,0.52899002,0.00070758951,0.00075740346,0.0010971565,3208,1.9370972e-05,False
ALL,breakout_high,24,asia,late_session,inside_asia,8,-7.4086755e-05,-4.4278876e-05,-7.4086755e-05,0.0011590177,0.48254364,0.48254364,0.51527431,0.0011014871,0.0012176858,0.0018072538,3208,3.1908176e-05,False
ALL,breakout_high,24,asia,mid_session,inside_asia,1,-1.653099e-05,-2.8725845e-05,-1.653099e-05,0.00024160429,0.43938711,0.43938711,0.55430374,0.00024468605,0.00025396238,0.00041152959,2219,8.7361969e-06,False
ALL,breakout_high,24,asia,mid_session,inside_asia,2,-3.51232e-05,-4.267046e-05,-3.51232e-05,0.00031677093,0.43668319,0.43668319,0.55700766,0.00032365531,0.00034498268,0.00051696207,2219,1.0974381e-05,False
ALL,breakout_high,24,asia,mid_session,inside_asia,4,-3.5180669e-05,-7.1750488e-05,-3.5180669e-05,0.00043736341,0.42992339,0.42992339,0.56466877,0.00044554596,0.00046621279,0.00071352245,2219,1.5147083e-05,False
ALL,breakout_high,24,asia,mid_session,inside_asia,8,-8.797788e-05,-7.3402435e-05,-8.797788e-05,0.00060668497,0.44524561,0.44524561,0.55250113,0.00060492152,0.00067795377,0.00094030855,2219,1.9961434e-05,False
ALL,breakout_high,24,london,early_session,asia_to_london_boundary,1,-9.810229e-07,-2.3967227e-05,-9.810229e-07,0.00042984667,0.4740634,0.4740634,0.52209414,0.0004475964,0.00043277689,0.00063712406,2082,1.3963158e-05,False
ALL,breakout_high,24,london,early_session,asia_to_london_boundary,2,-9.3793184e-06,-4.4760889e-05,-9.3793184e-06,0.00060385557,0.47646494,0.47646494,0.52161383,0.00062604426,0.00061299293,0.00089021636,2082,1.9509907e-05,False
ALL,breakout_high,24,london,early_session,asia_to_london_boundary,4,1.6943037e-05,4.4165712e-06,1.6943037e-05,0.00086765506,0.50144092,0.50144092,0.49519693,0.00089828749,0.00088943595,0.0012591653,2082,2.7595762e-05,False
ALL,breakout_high,24,london,early_session,asia_to_london_boundary,8,-2.3733876e-05,4.4513876e-05,-2.3733876e-05,0.0012060576,0.51392891,0.51392891,0.48511047,0.0012090072,0.0012626116,0.0017261363,2082,3.7829859e-05,False
ALL,breakout_high,24,london,early_session,inside_london,1,1.9872879e-06,-3.1523366e-05,1.9872879e-06,0.00042222085,0.46598272,0.46598272,0.53077754,0.00043585577,0.00042186349,0.00059971706,1852,1.3935608e-05,False
ALL,breakout_high,24,london,early_session,inside_london,2,-1.1484789e-05,-2.6393003e-05,-1.1484789e-05,0.00057696018,0.47408207,0.47408207,0.52159827,0.0005980766,0.00059434943,0.00083355522,1852,1.9369298e-05,False
ALL,breakout_high,24,london,early_session,inside_london,4,-3.3165792e-05,-6.0560199e-05,-3.3165792e-05,0.00082197234,0.47084233,0.47084233,0.52699784,0.00082360509,0.00084695708,0.0011985612,1852,2.7850931e-05,False
ALL,breakout_high,24,london,early_session,inside_london,8,-1.4279548e-05,-4.3388006e-05,-1.4279548e-05,0.0010952982,0.47948164,0.47948164,0.51835853,0.0011207507,0.0011474553,0.0015548269,1852,3.6129466e-05,False
ALL,breakout_high,24,london,late_session,asia_to_london_boundary,1,-0.0003993574,-0.0003993574,-0.0003993574,0.0003993574,0,0,1,0,0.00074425697,,1,,True
ALL,breakout_high,24,london,late_session,asia_to_london_boundary,2,8.6224893e-05,8.6224893e-05,8.6224893e-05,8.6224893e-05,1,1,0,0.00026321283,0.00074425697,,1,,True
ALL,breakout_high,24,london,late_session,asia_to_london_boundary,4,-0.00026321283,-0.00026321283,-0.00026321283,0.00026321283,0,0,1,0.00026321283,0.00074425697,,1,,True
ALL,breakout_high,24,london,late_session,asia_to_london_boundary,8,0.0001043775,0.0001043775,0.0001043775,0.0001043775,1,1,0,0.00049012044,0.00074425697,,1,,True
ALL,breakout_high,24,london,late_session,inside_london,1,-1.0589385e-05,-3.5304594e-05,-1.0589385e-05,0.00047365005,0.46535433,0.46535433,0.53070866,0.00049071636,0.00048054179,0.00073968273,2540,1.4676707e-05,False
ALL,breakout_high,24,london,late_session,inside_london,2,-1.2797155e-05,-2.7722052e-05,-1.2797155e-05,0.00065855755,0.48188976,0.48188976,0.51496063,0.00067917676,0.00067576374,0.00098877744,2540,1.9619218e-05,False
ALL,breakout_high,24,london,late_session,inside_london,4,-2.5756567e-05,-2.7286349e-05,-2.5756567e-05,0.00097967569,0.48818898,0.48818898,0.50905512,0.00097897228,0.0010043477,0.0014722514,2540,2.9212258e-05,False
ALL,breakout_high,24,london,late_session,inside_london,8,-2.2792917e-05,-6.3386536e-05,-2.2792917e-05,0.0014918728,0.48267717,0.48267717,0.51653543,0.0014635559,0.0015090578,0.0021272006,2540,4.220769e-05,False
ALL,breakout_high,24,london,mid_session,inside_london,1,-1.747666e-05,-2.3177979e-05,-1.747666e-05,0.00040003876,0.47761775,0.47761775,0.51887894,0.00040078578,0.00040752109,0.00059620406,2569,1.1762859e-05,False
ALL,breakout_high,24,london,mid_session,inside_london,2,-1.0119645e-05,-3.2710471e-05,-1.0119645e-05,0.00053870036,0.47489295,0.47489295,0.52316076,0.00056115587,0.00056150818,0.00078275181,2569,1.5443368e-05,False
ALL,breakout_high,24,london,mid_session,inside_london,4,-1.1225544e-05,-1.8392327e-05,-1.1225544e-05,0.00075486538,0.48579214,0.48579214,0.51187232,0.00078445565,0.00077794616,0.0011123898,2569,2.194699e-05,False
ALL,breakout_high,24,london,mid_session,inside_london,8,3.4761354e-05,-1.9245481e-05,3.4761354e-05,0.0011420007,0.49085247,0.49085247,0.50681199,0.0011753701,0.0011423006,0.0016555276,2569,3.2662873e-05,False
ALL,breakout_high,24,new_york,early_session,inside_new_york,1,2.6571597e-06,-2.1557536e-05,2.6571597e-06,0.00048943482,0.47461774,0.47461774,0.51987768,0.000497694,0.00047536394,0.00091140149,3270,1.5938075e-05,False
ALL,breakout_high,24,new_york,early_session,inside_new_york,2,-3.5515163e-06,-2.5072305e-05,-3.5515163e-06,0.00069033369,0.48440367,0.48440367,0.51376147,0.00070086097,0.00069580641,0.001107807,3270,1.9372703e-05,False
ALL,breakout_high,24,new_york,early_session,inside_new_york,4,5.4335164e-06,-3.0955556e-05,5.4335164e-06,0.00097555408,0.48593272,0.48593272,0.51284404,0.00099169645,0.00099748158,0.0014477471,3270,2.5317384e-05,False
ALL,breakout_high,24,new_york,early_session,inside_new_york,8,3.9192827e-05,-1.9076474e-05,3.9192827e-05,0.0013921065,0.49235474,0.49235474,0.50642202,0.0013942591,0.0013643142,0.0020280044,3270,3.5464595e-05,False
ALL,breakout_high,24,new_york,early_session,london_to_new_york_boundary,1,-1.7712001e-05,-2.7693543e-05,-1.7712001e-05,0.00030431306,0.42698706,0.42698706,0.56377079,0.00028267683,0.00032506379,0.00053819542,541,2.3138828e-05,False
ALL,breakout_high,24,new_york,early_session,london_to_new_york_boundary,2,-3.4957475e-05,-5.9433598e-05,-3.4957475e-05,0.00038026646,0.4103512,0.4103512,0.58040665,0.00036884932,0.00043017612,0.00063607248,541,2.7346892e-05,False
