pair,event_type,lookback_window,session,volatility_regime,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_high,24,asia,high_vol,1,2.8164688e-05,-5.209468e-05,2.8164688e-05,0.00059069299,0.45844749,0.45844749,0.53972603,0.00062437077,0.00054224637,0.00088925101,1095,2.6873071e-05,False
ALL,breakout_high,24,asia,high_vol,2,1.8818989e-05,-8.138352e-05,1.8818989e-05,0.00081153773,0.45936073,0.45936073,0.53607306,0.00085169687,0.00077156603,0.0012079176,1095,3.6503142e-05,False
ALL,breakout_high,24,asia,high_vol,4,-3.9767749e-05,-9.0063141e-05,-3.9767749e-05,0.0011444497,0.46392694,0.46392694,0.53515982,0.0011601467,0.0011396281,0.001724596,1095,5.2117108e-05,False
ALL,breakout_high,24,asia,high_vol,8,-0.00015940499,-0.0001026951,-0.00015940499,0.001683088,0.46849315,0.46849315,0.52968037,0.0015735575,0.0017033247,0.0028468234,1095,8.6030701e-05,False
ALL,breakout_high,24,asia,low_vol,1,-1.488506e-05,-2.2067602e-05,-1.488506e-05,0.00022681381,0.45993646,0.45993646,0.53335687,0.00023514585,0.00024595582,0.00032029467,5666,4.2551163e-06,False
ALL,breakout_high,24,asia,low_vol,2,-1.4092304e-05,-2.3510139e-05,-1.4092304e-05,0.00031988123,0.46240734,0.46240734,0.53229792,0.00033489947,0.00034967607,0.00044235676,5666,5.8767116e-06,False
ALL,breakout_high,24,asia,low_vol,4,-2.9422524e-05,-4.5697646e-05,-2.9422524e-05,0.00046042257,0.4592305,0.4592305,0.53706318,0.00047378712,0.00050332679,0.00066114004,5666,8.7832486e-06,False
ALL,breakout_high,24,asia,low_vol,8,-3.8994294e-05,-4.5090638e-05,-3.8994294e-05,0.0006756071,0.47105542,0.47105542,0.52682669,0.0006850232,0.00074497601,0.00097331887,5666,1.2930546e-05,False
ALL,breakout_high,24,asia,medium_vol,1,-1.5614314e-05,-3.0438209e-05,-1.5614314e-05,0.00033594168,0.46236559,0.46236559,0.53290323,0.00032623423,0.00033186881,0.00046108084,2325,9.5623712e-06,False
ALL,breakout_high,24,asia,medium_vol,2,-3.6733151e-05,-4.1935754e-05,-3.6733151e-05,0.00045606754,0.4627957,0.4627957,0.53376344,0.00045450938,0.00047423828,0.00062805661,2325,1.3025287e-05,False
ALL,breakout_high,24,asia,medium_vol,4,-5.7294321e-05,-6.6973167e-05,-5.7294321e-05,0.00063756892,0.45591398,0.45591398,0.54150538,0.00064200216,0.00068241686,0.00088603403,2325,1.837549e-05,False
ALL,breakout_high,24,asia,medium_vol,8,-7.6326589e-05,-6.5792359e-05,-7.6326589e-05,0.00093617161,0.47010753,0.47010753,0.52731183,0.00091407434,0.00098156567,0.0013250334,2325,2.7479914e-05,False
ALL,breakout_high,24,asia,unknown,1,-7.1045684e-05,-4.7780867e-05,-7.1045684e-05,0.00021598163,0.44230769,0.44230769,0.55769231,0.00019535681,0.00026149322,0.00029394557,52,4.0762917e-05,False
