pair,session_date,fx_session_date,session,session_start,session_end,session_return,session_abs_return,session_range,session_direction,session_direction_sign,volatility_regime,range_regime,directional_efficiency_ratio,close_location_value,structural_breach_presence,breach_direction,breach_magnitude_bucket,breakout_event_count,sweep_event_count,breach_event_count
EURUSD,2018-01-02,2018-01-02,new_york,2018-01-01 22:00:00+00:00,2018-01-02 21:45:00+00:00,0.0038627235,0.0038627235,0.0052279964,up,1,unknown,unknown,0.23807081,0.87261146,breakout,upside,large,4,2,6
EURUSD,2018-01-02,2018-01-02,asia,2018-01-02 00:00:00+00:00,2018-01-02 06:45:00+00:00,0.0015028266,0.0015028266,0.0018774926,up,1,unknown,unknown,0.2345679,0.92239468,breakout,upside,large,2,2,4
EURUSD,2018-01-02,2018-01-02,london,2018-01-02 07:00:00+00:00,2018-01-02 12:45:00+00:00,0.0028390551,0.0028390551,0.0047677836,up,1,unknown,unknown,0.37548103,0.67916303,breakout,upside,large,9,8,17
EURUSD,2018-01-03,2018-01-03,new_york,2018-01-02 22:00:00+00:00,2018-01-03 21:45:00+00:00,-0.003665449,0.003665449,0.0053903662,down,-1,unknown,unknown,0.22949117,0.20076923,breakout,downside,medium,6,4,10
EURUSD,2018-01-03,2018-01-03,asia,2018-01-03 00:00:00+00:00,2018-01-03 06:45:00+00:00,-0.0013638267,0.0013638267,0.0018239627,down,-1,unknown,unknown,0.18598078,0.14772727,sweep,downside,medium,2,4,6
EURUSD,2018-01-03,2018-01-03,london,2018-01-03 07:00:00+00:00,2018-01-03 12:45:00+00:00,-0.001805721,0.001805721,0.0031672762,down,-1,unknown,unknown,0.30483532,0.32372215,breakout,downside,large,9,7,16
EURUSD,2018-01-04,2018-01-04,new_york,2018-01-03 22:00:00+00:00,2018-01-04 21:45:00+00:00,0.0044821215,0.0044821215,0.0068459515,up,1,unknown,unknown,0.3017652,0.74832827,breakout,upside,large,6,9,15
EURUSD,2018-01-04,2018-01-04,asia,2018-01-04 00:00:00+00:00,2018-01-04 06:45:00+00:00,0.0014112064,0.0014112064,0.0027932728,up,1,unknown,unknown,0.23298969,0.69895678,breakout,upside,large,6,1,7
EURUSD,2018-01-04,2018-01-04,london,2018-01-04 07:00:00+00:00,2018-01-04 12:45:00+00:00,0.0035417507,0.0035417507,0.0043939325,up,1,unknown,unknown,0.50774732,0.92715232,breakout,upside,large,14,7,21
EURUSD,2018-01-05,2018-01-05,new_york,2018-01-04 22:00:00+00:00,2018-01-05 21:45:00+00:00,-0.0030866371,0.0030866371,0.005166492,down,-1,unknown,unknown,0.20032267,0.16359262,sweep,upside,large,9,2,11
EURUSD,2018-01-05,2018-01-05,asia,2018-01-05 00:00:00+00:00,2018-01-05 06:45:00+00:00,-0.00079973812,0.00079973812,0.0018978241,down,-1,unknown,unknown,0.17497733,0.0021834061,breakout,downside,large,3,2,5
