pair,transition_type,previous_session_name,current_session_name,next_session_name,previous_range_regime,previous_session_direction,current_range_regime,current_session_direction,current_structural_breach_presence,pattern_key,sample_count,low_sample
EURUSD,asia_to_london,asia,london,new_york,normal,up,normal,down,breakout,asia:normal:up->london:normal:down:breakout,80,False
EURUSD,asia_to_london,asia,london,new_york,normal,down,normal,down,breakout,asia:normal:down->london:normal:down:breakout,75,False
EURUSD,asia_to_london,asia,london,new_york,normal,down,normal,up,breakout,asia:normal:down->london:normal:up:breakout,69,False
EURUSD,asia_to_london,asia,london,new_york,normal,down,expanded,up,breakout,asia:normal:down->london:expanded:up:breakout,60,False
EURUSD,asia_to_london,asia,london,new_york,normal,up,compressed,up,breakout,asia:normal:up->london:compressed:up:breakout,60,False
EURUSD,asia_to_london,asia,london,new_york,normal,up,expanded,down,breakout,asia:normal:up->london:expanded:down:breakout,59,False
EURUSD,asia_to_london,asia,london,new_york,expanded,up,expanded,up,breakout,asia:expanded:up->london:expanded:up:breakout,55,False
EURUSD,asia_to_london,asia,london,new_york,expanded,down,expanded,down,breakout,asia:expanded:down->london:expanded:down:breakout,54,False
EURUSD,asia_to_london,asia,london,new_york,expanded,down,normal,down,breakout,asia:expanded:down->london:normal:down:breakout,53,False
EURUSD,asia_to_london,asia,london,new_york,expanded,up,expanded,down,breakout,asia:expanded:up->london:expanded:down:breakout,52,False
EURUSD,asia_to_london,asia,london,new_york,compressed,up,normal,down,breakout,asia:compressed:up->london:normal:down:breakout,49,False
EURUSD,asia_to_london,asia,london,new_york,expanded,down,normal,up,breakout,asia:expanded:down->london:normal:up:breakout,49,False
EURUSD,asia_to_london,asia,london,new_york,normal,up,normal,up,breakout,asia:normal:up->london:normal:up:breakout,49,False
EURUSD,asia_to_london,asia,london,new_york,normal,down,expanded,down,breakout,asia:normal:down->london:expanded:down:breakout,48,False
EURUSD,asia_to_london,asia,london,new_york,normal,up,compressed,down,breakout,asia:normal:up->london:compressed:down:breakout,48,False
EURUSD,asia_to_london,asia,london,new_york,compressed,down,normal,up,breakout,asia:compressed:down->london:normal:up:breakout,44,False
EURUSD,asia_to_london,asia,london,new_york,normal,up,expanded,up,breakout,asia:normal:up->london:expanded:up:breakout,44,False
EURUSD,asia_to_london,asia,london,new_york,compressed,down,normal,down,breakout,asia:compressed:down->london:normal:down:breakout,43,False
EURUSD,asia_to_london,asia,london,new_york,expanded,down,expanded,up,breakout,asia:expanded:down->london:expanded:up:breakout,43,False
EURUSD,asia_to_london,asia,london,new_york,expanded,up,normal,down,breakout,asia:expanded:up->london:normal:down:breakout,43,False
EURUSD,asia_to_london,asia,london,new_york,compressed,up,compressed,up,breakout,asia:compressed:up->london:compressed:up:breakout,40,False
EURUSD,asia_to_london,asia,london,new_york,expanded,up,normal,up,breakout,asia:expanded:up->london:normal:up:breakout,40,False
EURUSD,asia_to_london,asia,london,new_york,compressed,down,compressed,down,breakout,asia:compressed:down->london:compressed:down:breakout,38,False
EURUSD,asia_to_london,asia,london,new_york,compressed,up,compressed,down,breakout,asia:compressed:up->london:compressed:down:breakout,36,False
EURUSD,asia_to_london,asia,london,new_york,compressed,up,normal,up,breakout,asia:compressed:up->london:normal:up:breakout,35,False
EURUSD,asia_to_london,asia,london,new_york,normal,down,compressed,down,breakout,asia:normal:down->london:compressed:down:breakout,34,False
EURUSD,asia_to_london,asia,london,new_york,normal,down,compressed,up,breakout,asia:normal:down->london:compressed:up:breakout,33,False
EURUSD,asia_to_london,asia,london,new_york,compressed,down,compressed,up,breakout,asia:compressed:down->london:compressed:up:breakout,31,False
EURUSD,asia_to_london,asia,london,new_york,compressed,down,expanded,up,breakout,asia:compressed:down->london:expanded:up:breakout,30,False
EURUSD,asia_to_london,asia,london,new_york,compressed,down,expanded,down,breakout,asia:compressed:down->london:expanded:down:breakout,29,True
EURUSD,asia_to_london,asia,london,new_york,compressed,up,expanded,down,breakout,asia:compressed:up->london:expanded:down:breakout,28,True
EURUSD,asia_to_london,asia,london,new_york,compressed,up,expanded,up,breakout,asia:compressed:up->london:expanded:up:breakout,24,True
