pair,transition_type,previous_session_name,current_session_name,previous_session_direction,current_session_direction,previous_volatility_regime,current_volatility_regime,previous_range_regime,current_range_regime,avg_current_return,avg_current_abs_return,avg_current_efficiency,avg_current_clv,mean_aligned_current_return,continuation_fraction,reversal_fraction,sample_count,low_sample
EURUSD,asia_to_london,asia,london,down,down,high_vol,high_vol,expanded,expanded,-0.0041765736,0.0041765736,0.28728273,0.20881191,0.0041765736,1,0,16,True
EURUSD,asia_to_london,asia,london,down,down,high_vol,high_vol,expanded,normal,-0.0017198008,0.0017198008,0.15918626,0.10957814,0.0017198008,1,0,4,True
EURUSD,asia_to_london,asia,london,down,down,high_vol,high_vol,normal,expanded,-0.0099121107,0.0099121107,0.5502282,0.066533223,0.0099121107,1,0,2,True
EURUSD,asia_to_london,asia,london,down,down,high_vol,medium_vol,compressed,normal,-0.0066347291,0.0066347291,0.43725231,0.22616279,0.0066347291,1,0,1,True
EURUSD,asia_to_london,asia,london,down,down,high_vol,medium_vol,expanded,compressed,-0.0017931645,0.0017931645,0.3998006,0.10436433,0.0017931645,1,0,1,True
EURUSD,asia_to_london,asia,london,down,down,high_vol,medium_vol,expanded,normal,-0.00017364602,0.00017364602,0.027656477,0.54653465,0.00017364602,1,0,1,True
EURUSD,asia_to_london,asia,london,down,down,high_vol,medium_vol,normal,normal,-0.0027343288,0.0027343288,0.31482452,0.057861635,0.0027343288,1,0,1,True
EURUSD,asia_to_london,asia,london,down,down,low_vol,high_vol,compressed,compressed,-0.00084094098,0.00084094098,0.10991826,0.23911151,0.00084094098,1,0,3,True
EURUSD,asia_to_london,asia,london,down,down,low_vol,high_vol,compressed,expanded,-0.0035232558,0.0035232558,0.33022395,0.18607568,0.0035232558,1,0,25,True
EURUSD,asia_to_london,asia,london,down,down,low_vol,high_vol,compressed,normal,-0.0015096705,0.0015096705,0.15570072,0.33194747,0.0015096705,1,0,21,True
EURUSD,asia_to_london,asia,london,down,down,low_vol,high_vol,expanded,compressed,-0.00062409198,0.00062409198,0.087136098,0.38751333,0.00062409198,1,0,3,True
EURUSD,asia_to_london,asia,london,down,down,low_vol,high_vol,expanded,expanded,-0.0031691457,0.0031691457,0.28898384,0.23584418,0.0031691457,1,0,14,True
EURUSD,asia_to_london,asia,london,down,down,low_vol,high_vol,expanded,normal,-0.0015067617,0.0015067617,0.16636877,0.30391138,0.0015067617,1,0,19,True
EURUSD,asia_to_london,asia,london,down,down,low_vol,high_vol,normal,compressed,-0.0010651608,0.0010651608,0.093345325,0.34599198,0.0010651608,1,0,8,True
EURUSD,asia_to_london,asia,london,down,down,low_vol,high_vol,normal,expanded,-0.0029070899,0.0029070899,0.26819132,0.21209847,0.0029070899,1,0,30,False
EURUSD,asia_to_london,asia,london,down,down,low_vol,high_vol,normal,normal,-0.0019153847,0.0019153847,0.1893651,0.25891226,0.0019153847,1,0,46,False
EURUSD,asia_to_london,asia,london,down,down,low_vol,low_vol,compressed,compressed,-0.00091148445,0.00091148445,0.17800101,0.25042204,0.00091148445,1,0,8,True
EURUSD,asia_to_london,asia,london,down,down,low_vol,low_vol,compressed,normal,-0.0015138575,0.0015138575,0.28199416,0.26611879,0.0015138575,1,0,3,True
EURUSD,asia_to_london,asia,london,down,down,low_vol,low_vol,expanded,compressed,-0.00018298326,0.00018298326,0.042014628,0.6586891,0.00018298326,1,0,2,True
EURUSD,asia_to_london,asia,london,down,down,low_vol,low_vol,normal,compressed,-0.00077430915,0.00077430915,0.12191073,0.46564532,0.00077430915,1,0,3,True
EURUSD,asia_to_london,asia,london,down,down,low_vol,low_vol,normal,normal,-0.0021719142,0.0021719142,0.26094647,0.2895874,0.0021719142,1,0,3,True
EURUSD,asia_to_london,asia,london,down,down,low_vol,medium_vol,compressed,compressed,-0.001231645,0.001231645,0.16600527,0.26862061,0.001231645,1,0,32,False
