scope,pair,transition,prior_session_sign,prior_volatility_regime,continuation_prob,reversal_prob,avg_next_session_return,avg_next_session_range,sample_count,low_sample
pair,EURUSD,asia_to_london,flat,all,0.0,0.0,0.00201233574218013,0.0051993002299276225,3,True
pair,EURUSD,asia_to_london,negative,all,0.4967462039045553,0.5021691973969631,1.547739186323717e-06,0.004112281020021597,922,False
pair,EURUSD,asia_to_london,positive,all,0.47157190635451507,0.5284280936454849,-0.00021515293180843917,0.0041107954816576395,897,False
pair,EURUSD,london_to_new_york,flat,all,0.0,0.0,-0.0029980467917060595,0.005266838958402481,1,True
pair,EURUSD,london_to_new_york,negative,all,0.7044967880085653,0.2955032119914347,-0.0019797135144155233,0.005947818740003686,934,False
pair,EURUSD,london_to_new_york,positive,all,0.713641488162345,0.2852311161217587,0.0019368141203117766,0.005832913523616728,887,False
pair,GBPUSD,asia_to_london,flat,all,0.0,0.0,-0.002206556198048961,0.00424728448517348,2,True
pair,GBPUSD,asia_to_london,negative,all,0.5284463894967177,0.47155361050328226,-5.50718145970612e-05,0.005281723198548797,914,False
pair,GBPUSD,asia_to_london,positive,all,0.5016574585635359,0.4983425414364641,-0.00014748279839411744,0.005152743344391982,905,False
pair,GBPUSD,london_to_new_york,negative,all,0.7122994652406417,0.2877005347593583,-0.002561832434548026,0.007056858853224221,935,False
pair,GBPUSD,london_to_new_york,positive,all,0.7265536723163842,0.27231638418079096,0.002669439622366689,0.007157620089855135,885,False
pair,USDJPY,asia_to_london,flat,all,0.0,0.0,0.0015470643056849655,0.0030195712954334784,1,True
pair,USDJPY,asia_to_london,negative,all,0.46950517836593786,0.5304948216340621,1.6996137284026477e-05,0.004003253519507066,869,False
pair,USDJPY,asia_to_london,positive,all,0.5283613445378151,0.47058823529411764,0.00013375855142628947,0.0037749855121708593,952,False
pair,USDJPY,london_to_new_york,flat,all,0.0,0.0,0.0013155421913174715,0.0037184202754585037,1,True
pair,USDJPY,london_to_new_york,negative,all,0.6495327102803738,0.3492990654205608,-0.0019284474448702878,0.006701655083150523,856,False
pair,USDJPY,london_to_new_york,positive,all,0.694300518134715,0.30569948186528495,0.002154449858300701,0.006402268816647615,965,False
pair_by_prior_vol,EURUSD,asia_to_london,flat,high,0.0,0.0,0.0072610349616571,0.010994706438821982,1,True
pair_by_prior_vol,EURUSD,asia_to_london,flat,low,0.0,0.0,-0.0006120138675583549,0.0023015971254804427,2,True
pair_by_prior_vol,EURUSD,asia_to_london,negative,high,0.5032679738562091,0.4934640522875817,-2.8552346377497665e-05,0.005351307804732654,306,False
pair_by_prior_vol,EURUSD,asia_to_london,negative,low,0.49508196721311476,0.5049180327868853,-6.07598830144626e-06,0.0031056460063878396,305,False
pair_by_prior_vol,EURUSD,asia_to_london,negative,medium,0.4919614147909968,0.5080385852090032,3.864054647345936e-05,0.003880388682519064,311,False
pair_by_prior_vol,EURUSD,asia_to_london,positive,high,0.49169435215946844,0.5083056478405316,-0.0002978211014234806,0.005342958402884987,301,False
pair_by_prior_vol,EURUSD,asia_to_london,positive,low,0.47333333333333333,0.5266666666666666,-0.00012780253903896951,0.0029998232684953,300,False
pair_by_prior_vol,EURUSD,asia_to_london,positive,medium,0.44932432432432434,0.5506756756756757,-0.00021961914389193046,0.003983804348749769,296,False
pair_by_prior_vol,EURUSD,london_to_new_york,flat,medium,0.0,0.0,-0.0029980467917060595,0.005266838958402481,1,True
pair_by_prior_vol,EURUSD,london_to_new_york,negative,high,0.7083333333333334,0.2916666666666667,-0.002706105036635563,0.007973914742734707,312,False
pair_by_prior_vol,EURUSD,london_to_new_york,negative,low,0.6612377850162866,0.33876221498371334,-0.0010705266738870933,0.004364076278363492,307,False
pair_by_prior_vol,EURUSD,london_to_new_york,negative,medium,0.7428571428571429,0.2571428571428571,-0.0021463363877792553,0.005484539320548005,315,False
pair_by_prior_vol,EURUSD,london_to_new_york,positive,high,0.7398648648648649,0.26013513513513514,0.002699237851759889,0.007721822179775466,296,False
pair_by_prior_vol,EURUSD,london_to_new_york,positive,low,0.6933333333333334,0.30666666666666664,0.0013678199957976426,0.004315665175564999,300,False
pair_by_prior_vol,EURUSD,london_to_new_york,positive,medium,0.7079037800687286,0.28865979381443296,0.0017478822056918421,0.005475722946958762,291,False
pair_by_prior_vol,GBPUSD,asia_to_london,flat,low,0.0,0.0,-0.002206556198048961,0.00424728448517348,2,True
pair_by_prior_vol,GBPUSD,asia_to_london,negative,high,0.5064935064935064,0.4935064935064935,7.234407707760162e-05,0.006715892800086526,308,False
pair_by_prior_vol,GBPUSD,asia_to_london,negative,low,0.52,0.48,-1.0085631910019507e-05,0.0041283704361704514,300,False
pair_by_prior_vol,GBPUSD,asia_to_london,negative,medium,0.5588235294117647,0.4411764705882353,-0.00022742459055101103,0.004968917941816386,306,False
pair_by_prior_vol,GBPUSD,asia_to_london,positive,high,0.5083612040133779,0.4916387959866221,-0.0001029978427857405,0.0063342027267463226,299,False
pair_by_prior_vol,GBPUSD,asia_to_london,positive,low,0.5409836065573771,0.45901639344262296,0.00013443608113657184,0.00415074467944178,305,False
pair_by_prior_vol,GBPUSD,asia_to_london,positive,medium,0.45514950166112955,0.5448504983388704,-0.0004773374827255624,0.0049944484523184425,301,False
pair_by_prior_vol,GBPUSD,london_to_new_york,negative,high,0.7507692307692307,0.24923076923076923,-0.0038977882237129758,0.009413780593302364,325,False
pair_by_prior_vol,GBPUSD,london_to_new_york,negative,low,0.6491803278688525,0.35081967213114756,-0.001471701454121654,0.005207314500404228,305,False
pair_by_prior_vol,GBPUSD,london_to_new_york,negative,medium,0.7344262295081967,0.26557377049180325,-0.0022284039675035507,0.0063949292207150475,305,False
pair_by_prior_vol,GBPUSD,london_to_new_york,positive,high,0.74822695035461,0.25177304964539005,0.003776653044274041,0.009690530662303314,282,False
pair_by_prior_vol,GBPUSD,london_to_new_york,positive,low,0.6943521594684385,0.3023255813953488,0.0017440296437610551,0.00526253308444304,301,False
pair_by_prior_vol,GBPUSD,london_to_new_york,positive,medium,0.7384105960264901,0.26158940397350994,0.002557897299791929,0.006681263822301009,302,False
pair_by_prior_vol,USDJPY,asia_to_london,flat,medium,0.0,0.0,0.0015470643056849655,0.0030195712954334784,1,True
pair_by_prior_vol,USDJPY,asia_to_london,negative,high,0.48242811501597443,0.5175718849840255,-6.213710516288827e-06,0.005778431596589279,313,False
pair_by_prior_vol,USDJPY,asia_to_london,negative,low,0.4646840148698885,0.5353159851301115,-9.036007112671106e-05,0.0024926339356593553,269,False
pair_by_prior_vol,USDJPY,asia_to_london,negative,medium,0.45993031358885017,0.5400696864111498,0.00014293168579966093,0.0034831348084558523,287,False
pair_by_prior_vol,USDJPY,asia_to_london,positive,high,0.5525423728813559,0.44745762711864406,0.0003027562847545137,0.005553945196132327,295,False
pair_by_prior_vol,USDJPY,asia_to_london,positive,low,0.5355029585798816,0.46153846153846156,1.1948173270207001e-05,0.002632873345418382,338,False
pair_by_prior_vol,USDJPY,asia_to_london,positive,medium,0.49843260188087773,0.5015673981191222,0.00010654092285240153,0.0033400037115241667,319,False
pair_by_prior_vol,USDJPY,london_to_new_york,flat,low,0.0,0.0,0.0013155421913174715,0.0037184202754585037,1,True
pair_by_prior_vol,USDJPY,london_to_new_york,negative,high,0.7312925170068028,0.2687074829931973,-0.0038715590196312915,0.010015453879451758,294,False
pair_by_prior_vol,USDJPY,london_to_new_york,negative,low,0.5789473684210527,0.41729323308270677,-0.0006345921752116462,0.004197717641598163,266,False
pair_by_prior_vol,USDJPY,london_to_new_york,negative,medium,0.6317567567567568,0.36824324324324326,-0.001161186291996854,0.005660406817408512,296,False
pair_by_prior_vol,USDJPY,london_to_new_york,positive,high,0.7229299363057324,0.2770700636942675,0.0034126546853934653,0.009538703445495919,314,False
pair_by_prior_vol,USDJPY,london_to_new_york,positive,low,0.6617647058823529,0.3382352941176471,0.001259746744567223,0.004150041688270396,340,False
pair_by_prior_vol,USDJPY,london_to_new_york,positive,medium,0.7009646302250804,0.2990353697749196,0.0018622400285973392,0.005697821068062044,311,False
pooled,ALL,asia_to_london,flat,all,0.0,0.0,0.0005284931893545722,0.004518673492593884,6,True
pooled,ALL,asia_to_london,negative,all,0.4987060998151571,0.5009242144177449,-1.262069490281126e-05,0.004472401261510223,2705,False
pooled,ALL,asia_to_london,positive,all,0.5010893246187363,0.49854756717501814,-7.230427429957102e-05,0.004337110559661694,2754,False
pooled,ALL,london_to_new_york,flat,all,0.0,0.0,-0.000841252300194294,0.0044926296169304925,2,True
pooled,ALL,london_to_new_york,negative,all,0.689908256880734,0.30972477064220183,-0.002163345600578154,0.006565153204442179,2725,False
pooled,ALL,london_to_new_york,positive,all,0.710997442455243,0.28827183047131894,0.0022504392779580714,0.006461993965303172,2737,False
pooled_by_prior_vol,ALL,asia_to_london,flat,high,0.0,0.0,0.0072610349616571,0.010994706438821982,1,True
pooled_by_prior_vol,ALL,asia_to_london,flat,low,0.0,0.0,-0.001409285032803658,0.0032744408053269614,4,True
pooled_by_prior_vol,ALL,asia_to_london,flat,medium,0.0,0.0,0.0015470643056849655,0.0030195712954334784,1,True
pooled_by_prior_vol,ALL,asia_to_london,negative,high,0.49730312837108953,0.5016181229773463,1.2513555940440775e-05,0.005948915059770536,927,False
