pair,lookback_window,event_type,context_type,context_value,horizon_bars,event_frequency_per_1000_bars,mean_forward_return,reversal_probability,sample_count,bars_observed,low_sample
EURUSD,24,sweep_high,session,asia,1,60.26269358949226,-5.16802624503426e-06,0.5065061808718282,3074,51010,False
EURUSD,24,sweep_high,session,asia,2,60.26269358949226,-9.601502083721328e-06,0.5104098893949252,3074,51010,False
EURUSD,24,sweep_high,session,asia,4,60.26269358949226,-1.3988624281731069e-05,0.5081327260897853,3074,51010,False
EURUSD,24,sweep_high,session,asia,8,60.26269358949226,-2.5576552148504144e-05,0.5071567989590111,3074,51010,False
EURUSD,24,sweep_high,session,london,1,67.8510028653295,6.882500465260905e-06,0.5037162162162162,2960,43625,False
EURUSD,24,sweep_high,session,london,2,67.8510028653295,-2.851870610234473e-06,0.5152027027027027,2960,43625,False
EURUSD,24,sweep_high,session,london,4,67.8510028653295,-9.09240336324539e-06,0.49695945945945946,2960,43625,False
EURUSD,24,sweep_high,session,london,8,67.8510028653295,-4.724287889550742e-05,0.5023648648648649,2960,43625,False
EURUSD,24,sweep_high,session,new_york,1,36.06442577030812,-2.1851681946229316e-06,0.515256588072122,2884,79968,False
EURUSD,24,sweep_high,session,new_york,2,36.06442577030812,-1.322889188151022e-05,0.5100554785020804,2884,79968,False
EURUSD,24,sweep_high,session,new_york,4,36.06442577030812,-4.436642470065391e-05,0.5277392510402219,2884,79968,False
EURUSD,24,sweep_high,session,new_york,8,36.06442577030812,-5.4460493052300455e-05,0.5156033287101248,2884,79968,False
EURUSD,24,sweep_low,session,asia,1,55.57733777690649,-3.1431960744374567e-06,0.508994708994709,2835,51010,False
EURUSD,24,sweep_low,session,asia,2,55.57733777690649,7.168529064230667e-06,0.5192239858906526,2835,51010,False
EURUSD,24,sweep_low,session,asia,4,55.57733777690649,1.3482707740857848e-05,0.5245149911816579,2835,51010,False
EURUSD,24,sweep_low,session,asia,8,55.57733777690649,3.318513738264846e-05,0.5188712522045855,2835,51010,False
EURUSD,24,sweep_low,session,london,1,70.12034383954155,5.993642923732963e-06,0.515527950310559,3059,43625,False
EURUSD,24,sweep_low,session,london,2,70.12034383954155,5.321012192033685e-07,0.5129127165740438,3059,43625,False
EURUSD,24,sweep_low,session,london,4,70.12034383954155,7.161198600344873e-07,0.5125858123569794,3059,43625,False
EURUSD,24,sweep_low,session,london,8,70.12034383954155,-3.250456709860089e-05,0.5021248774109186,3059,43625,False
EURUSD,24,sweep_low,session,new_york,1,38.240296118447375,5.182193678354069e-06,0.5170045781556573,3058,79968,False
EURUSD,24,sweep_low,session,new_york,2,38.240296118447375,8.69403653288033e-06,0.5241988227599739,3058,79968,False
EURUSD,24,sweep_low,session,new_york,4,38.240296118447375,6.29868583616409e-06,0.5186396337475474,3058,79968,False
EURUSD,24,sweep_low,session,new_york,8,38.240296118447375,3.094768823843631e-05,0.5228907782864617,3058,79968,False
EURUSD,48,sweep_high,session,asia,1,31.13115075475397,2.1544535087835904e-06,0.4987405541561713,1588,51010,False
EURUSD,48,sweep_high,session,asia,2,31.13115075475397,-9.394630680446292e-06,0.5157430730478589,1588,51010,False
EURUSD,48,sweep_high,session,asia,4,31.13115075475397,-1.9330387044651154e-05,0.510705289672544,1588,51010,False
