pair,lookback_window,event_type,context_type,context_value,horizon_bars,event_frequency_per_1000_bars,mean_forward_return,reversal_probability,sample_count,bars_observed,low_sample
EURUSD,24,sweep_high,volatility_regime,high_vol,1,50.25639248839305,-3.059537225851993e-06,0.5077559462254395,2901,57724,False
EURUSD,24,sweep_high,volatility_regime,high_vol,2,50.25639248839305,-1.5068239551828468e-05,0.5074112375043088,2901,57724,False
EURUSD,24,sweep_high,volatility_regime,high_vol,4,50.25639248839305,-5.43197551632633e-05,0.5129265770423992,2901,57724,False
EURUSD,24,sweep_high,volatility_regime,high_vol,8,50.25639248839305,-0.00010362964520384346,0.5091347811099621,2901,57724,False
EURUSD,24,sweep_high,volatility_regime,low_vol,1,56.16937898002504,-7.810811083097105e-07,0.5061369509043928,3096,55119,False
EURUSD,24,sweep_high,volatility_regime,low_vol,2,56.16937898002504,-8.82437776927659e-06,0.5142118863049095,3096,55119,False
EURUSD,24,sweep_high,volatility_regime,low_vol,4,56.16937898002504,-1.9704417721385917e-05,0.5155038759689923,3096,55119,False
EURUSD,24,sweep_high,volatility_regime,low_vol,8,56.16937898002504,-2.8502908239762694e-05,0.5090439276485789,3096,55119,False
EURUSD,24,sweep_high,volatility_regime,medium_vol,1,47.30263157894737,1.3354253313282192e-06,0.5135605006954103,2876,60800,False
EURUSD,24,sweep_high,volatility_regime,medium_vol,2,47.30263157894737,-3.734824782222964e-06,0.5152990264255911,2876,60800,False
EURUSD,24,sweep_high,volatility_regime,medium_vol,4,47.30263157894737,6.062783868235661e-06,0.5027816411682893,2876,60800,False
EURUSD,24,sweep_high,volatility_regime,medium_vol,8,47.30263157894737,3.183486903642098e-07,0.5059109874826148,2876,60800,False
EURUSD,24,sweep_high,volatility_regime,unknown,1,46.875,0.00012526499949484356,0.37777777777777777,45,960,False
EURUSD,24,sweep_high,volatility_regime,unknown,2,46.875,0.00012590919976175656,0.4222222222222222,45,960,False
EURUSD,24,sweep_high,volatility_regime,unknown,4,46.875,7.294681677907324e-05,0.5555555555555556,45,960,False
EURUSD,24,sweep_high,volatility_regime,unknown,8,46.875,0.00027630508922510004,0.5555555555555556,45,960,False
EURUSD,24,sweep_low,volatility_regime,high_vol,1,51.728916914974704,3.0458430099064004e-06,0.5154052243804421,2986,57724,False
EURUSD,24,sweep_low,volatility_regime,high_vol,2,51.728916914974704,1.0391092556982679e-05,0.5237776289350301,2986,57724,False
EURUSD,24,sweep_low,volatility_regime,high_vol,4,51.728916914974704,1.1068624809216172e-05,0.5190890823844608,2986,57724,False
EURUSD,24,sweep_low,volatility_regime,high_vol,8,51.728916914974704,3.241109056924764e-05,0.5194239785666444,2986,57724,False
EURUSD,24,sweep_low,volatility_regime,low_vol,1,51.34345688419601,3.563948698526421e-06,0.5063604240282685,2830,55119,False
EURUSD,24,sweep_low,volatility_regime,low_vol,2,51.34345688419601,9.08533351213384e-06,0.5173144876325089,2830,55119,False
EURUSD,24,sweep_low,volatility_regime,low_vol,4,51.34345688419601,1.3553561220301098e-05,0.5187279151943462,2830,55119,False
EURUSD,24,sweep_low,volatility_regime,low_vol,8,51.34345688419601,3.3567276296257255e-05,0.5180212014134276,2830,55119,False
EURUSD,24,sweep_low,volatility_regime,medium_vol,1,51.00328947368421,9.189406784109759e-07,0.5182199290551435,3101,60800,False
EURUSD,24,sweep_low,volatility_regime,medium_vol,2,51.00328947368421,-3.274402786519776e-06,0.5140277329893582,3101,60800,False
EURUSD,24,sweep_low,volatility_regime,medium_vol,4,51.00328947368421,-4.861480062719299e-06,0.5166075459529185,3101,60800,False
EURUSD,24,sweep_low,volatility_regime,medium_vol,8,51.00328947368421,-3.478633120051268e-05,0.5056433408577878,3101,60800,False
EURUSD,24,sweep_low,volatility_regime,unknown,1,36.458333333333336,9.25784003689424e-05,0.6285714285714286,35,960,False
EURUSD,24,sweep_low,volatility_regime,unknown,2,36.458333333333336,5.57562305912532e-05,0.6285714285714286,35,960,False
EURUSD,24,sweep_low,volatility_regime,unknown,4,36.458333333333336,9.552646071109115e-05,0.6,35,960,False
EURUSD,24,sweep_low,volatility_regime,unknown,8,36.458333333333336,0.0001538265443695647,0.6,35,960,False
EURUSD,48,sweep_high,volatility_regime,high_vol,1,40.537731272954055,-9.473934817036575e-06,0.514102564102564,2340,57724,False
EURUSD,48,sweep_high,volatility_regime,high_vol,2,40.537731272954055,-2.8792104053773e-05,0.5115384615384615,2340,57724,False
EURUSD,48,sweep_high,volatility_regime,high_vol,4,40.537731272954055,-6.382778120651504e-05,0.5136752136752136,2340,57724,False
